index,artist,title,mood,split
ML217,Etta James,A Sunday Kind Of Love,relaxed,train
ML1308,Willie Nelson,Sad Songs And Waltzes,sad,train
ML1617,Peaches,Fuck The Pain Away,happy,train
ML515,Megadeth,Use the Man,angry,train
ML1051,AFI,Silver And Cold,sad,train
ML1294,Johnny Paycheck,Take This Job and Shove It,happy,train
ML74,COLD,Stupid Girl,angry,train
ML1241,Diamond Head,Am I Evil?,angry,train
ML1124,Thievery Corporation,Amerimacka ,relaxed,train
ML1946,Dew-Scented,Blueprints of hate,angry,train
ML771,Ice Cube,The Nigga Ya Love to Hate,angry,train
ML1580,The Jackson 5,The Love You Save,happy,train
ML1020,"""Weird Al"" Yankovic",Eat It,happy,train
ML187,Carrie Underwood,I Told You So,sad,train
ML1021,Suicidal Tendencies,Institutionalized,angry,train
ML270,Megadeth,Moto Psycho,angry,train
ML15,The Proclaimers,I'm On My Way,happy,train
ML1503,Ween,Boys Club,happy,train
ML1217,Serge Gainsbourg,Comic Strip,happy,train
ML1143,The Dillinger Escape Plan,The Mullet Burden,angry,train
ML503,Eric Burdon,Don't Let Me Be Misunderstood,angry,train
ML1396,Patrick Wolf,To the Lighthouse,sad,train
ML1909,Tori Amos,Professional Widow,angry,train
ML1553,The Beatles,Please Please Me,happy,train
ML871,Cut Chemist,Spoon,relaxed,train
ML499,Luther Vandross,I'd Rather,relaxed,train
ML1509,Queens Of The Stone Age,Feel Good Hit Of The Summer,happy,train
ML1397,Anthrax,A.I.R.,angry,train
ML1249,Joni Mitchell,Shine,relaxed,train
ML1992,Static-X,No Submission,angry,train
ML419,Marilyn Manson,A Place In The Dirt,sad,train
ML452,"""Weird Al"" Yankovic",Christmas At Ground Zero,happy,train
ML822,Celtic Woman,Over The Rainbow,relaxed,train
ML439,Shania Twain,I'm Gonna Getcha Good!,happy,train
ML1584,Böhse Onkelz,"Bin ich nur glücklich, wenn es schmerzt",sad,train
ML677,Amel Larrieux,Weather,relaxed,train
ML1987,Turin Brakes,Future Boy,relaxed,train
ML365,Scissor Sisters,Take Your Mama,happy,train
ML472,Bob Dylan,Gotta Serve Somebody,relaxed,train
ML1118,Sophie Milman,Back Home To Me,relaxed,train
ML1486,We Are Scientists,What's The Word,angry,train
ML642,Jane Monheit,Detour Ahead,relaxed,train
ML1616,Andrew Bird,Armchairs,relaxed,train
ML526,Rage Against the Machine,Sleep Now in the Fire,angry,train
ML1912,Slayer,Ghosts Of War,angry,train
ML1577,Pato Fu,30.000 Pés,relaxed,train
ML501,Rocco DeLuca & The Burden,Gift,sad,train
ML319,My Bloody Valentine,Nothing Much to Lose,sad,train
ML1288,Rage Against the Machine,Pistol Grip Pump,angry,train
ML1524,Blink 182,Adam's Song,angry,train
ML1498,Jamie Lidell,Multiply,happy,train
ML1187,Yardbirds,I'm a Man,angry,train
ML149,Black Sabbath,Sabbath Bloody Sabbath,angry,train
ML1612,José González,Stay In The Shade,relaxed,train
ML73,Slayer,Spiritual Law,angry,train
ML788,Vienna Teng,Green Island Serenade,relaxed,train
ML1676,Deee-Lite,Groove Is In The Heart,happy,train
ML244,Goldfrapp,Lovely 2 C U,happy,train
ML1488,Anaal Nathrakh,The Destroying Angel,angry,train
ML742,Guns N Roses,Mr. Brownstone,angry,train
ML7,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,angry,train
ML463,Sarah Blasko,For You,relaxed,train
ML1771,Sondre Lerche,To Be Surprised,happy,train
ML565,Sparta,Echodyne Harmonic,relaxed,train
ML1197,Ozzy Osbourne,Gets Me Through,angry,train
ML1430,Celtic Woman,The Sky And The Dawn And The Sun,relaxed,train
ML1681,Curtis Mayfield,Future Shock,angry,train
ML1895,Venom,Warhead,angry,train
ML940,Cake,Pretty Pink Ribbon,happy,train
ML1361,Deep Forest,Forest Hymn,relaxed,train
ML1890,Juana Molina,La Verdad,relaxed,train
ML315,Brooks & Dunn,Neon Moon,sad,train
ML1914,India.Arie,The Truth,relaxed,train
ML831,The Rocket Summer,Hold It Up,happy,train
ML1496,Harry Belafonte,Jump in the Line,happy,train
ML770,India.Arie,God Is Real,relaxed,train
ML13,Garbage,Silence Is Golden,angry,train
ML1531,Chris Garneau,Things She Said,sad,train
ML1740,Slayer,Hate Worldwide,angry,train
ML991,Kaskade,Your Love Is Black,sad,train
ML574,Diary of Dreams,Tears of Laughter,sad,train
ML1900,Christina Aguilera,Hurt,angry,train
ML1794,American Music Club,The Confidential Agent,sad,train
ML1415,Dianne Reeves,One For My Baby,relaxed,train
ML32,Lamb,Written,relaxed,train
ML532,Joe Nichols,Tequila Makes Her Clothes Fall Off,happy,train
ML234,New York Dolls,Personality Crisis,angry,train
ML198,Ricky Martin,Livin' La Vida Loca,happy,train
ML679,Love Is All,Make Out Fall Out Make Up,sad,train
ML1227,Ricky Martin,She Bangs,happy,train
ML1824,Sibylle Baier,Girl,relaxed,train
ML764,The Black Dahlia Murder,Miasma,angry,train
ML251,Throwing Muses,Counting Backwards,angry,train
ML487,In Flames,Swim,happy,train
ML190,Queensryche,The Needle Lies,angry,train
ML376,Secondhand Serenade,End,sad,train
ML605,Gwen Stefani,Wind It Up,happy,train
ML1299,The Cure,Out Of This World,sad,train
ML1825,Ice Cube,Endangered Species (Tales From the Darkside),angry,train
ML1069,L7,Shitlist,angry,train
ML772,Frankie Valli,Grease,happy,train
ML981,Róisín Murphy,Primitive,happy,train
ML1766,We Are The Fallen,Tear The World Down,sad,train
ML851,Lene Marlin,Unforgivable Sinner,sad,train
ML392,The Faint,Paranoiattack,happy,train
